CustomerID,本次购买日期,上次购买日期,间隔天数
12471.0,2011-10-05,2011-09-22,13.0
12471.0,2011-11-03,2011-10-05,29.0
12471.0,2011-11-17,2011-11-03,14.0
12471.0,2011-11-24,2011-11-17,7.0
12471.0,2011-11-29,2011-11-24,5.0
12471.0,2011-12-07,2011-11-29,8.0
12472.0,2011-01-26,2010-12-05,52.0
12472.0,2011-03-17,2011-01-26,50.0
12472.0,2011-06-13,2011-03-17,88.0
12472.0,2011-07-24,2011-06-13,41.0
12472.0,2011-10-19,2011-07-24,87.0
12472.0,2011-11-07,2011-10-19,19.0
12473.0,2011-08-17,2011-06-01,77.0
12473.0,2011-10-17,2011-08-17,61.0
12473.0,2011-11-10,2011-10-17,24.0
12474.0,2011-01-26,2011-01-14,12.0
12474.0,2011-02-25,2011-01-26,30.0
12474.0,2011-03-18,2011-02-25,21.0
12474.0,2011-03-28,2011-03-18,10.0
12474.0,2011-05-17,2011-03-28,50.0
12474.0,2011-05-23,2011-05-17,6.0
12474.0,2011-06-21,2011-05-23,29.0
12474.0,2011-06-26,2011-06-21,5.0
12474.0,2011-07-12,2011-06-26,16.0
12474.0,2011-07-25,2011-07-12,13.0
12474.0,2011-09-02,2011-07-25,39.0
12474.0,2011-10-11,2011-09-02,39.0
12474.0,2011-10-17,2011-10-11,6.0
12474.0,2011-10-20,2011-10-17,3.0
12474.0,2011-11-15,2011-10-20,26.0
12474.0,2011-11-22,2011-11-15,7.0
12476.0,2011-01-31,2010-12-13,49.0
12476.0,2011-02-14,2011-01-31,14.0
12476.0,2011-04-19,2011-02-14,64.0
12476.0,2011-05-05,2011-04-19,16.0
12476.0,2011-07-21,2011-05-05,77.0
12476.0,2011-09-16,2011-07-21,57.0
12476.0,2011-10-25,2011-09-16,39.0
12476.0,2011-11-14,2011-10-25,20.0
12476.0,2011-11-24,2011-11-14,10.0
12477.0,2011-04-14,2011-02-11,62.0
12477.0,2011-08-31,2011-04-14,139.0
12477.0,2011-10-07,2011-08-31,37.0
12477.0,2011-10-14,2011-10-07,7.0
12477.0,2011-11-17,2011-10-14,34.0
12480.0,2011-03-17,2011-01-07,69.0
12480.0,2011-07-19,2011-03-17,124.0
12480.0,2011-11-11,2011-07-19,115.0
12481.0,2010-12-20,2010-12-09,11.0
12481.0,2011-01-07,2010-12-20,18.0
12481.0,2011-03-28,2011-01-07,80.0
12481.0,2011-05-19,2011-03-28,52.0
12481.0,2011-06-13,2011-05-19,25.0
12481.0,2011-10-05,2011-06-13,114.0
12481.0,2011-11-17,2011-10-05,43.0
12483.0,2011-04-27,2011-01-04,113.0
12483.0,2011-05-11,2011-04-27,14.0
12483.0,2011-05-18,2011-05-11,7.0
12483.0,2011-06-09,2011-05-18,22.0
12483.0,2011-09-02,2011-06-09,85.0
12483.0,2011-10-30,2011-09-02,58.0
12483.0,2011-11-22,2011-10-30,23.0
12484.0,2011-06-16,2011-01-07,160.0
12484.0,2011-08-28,2011-06-16,73.0
12484.0,2011-08-31,2011-08-28,3.0
12484.0,2011-11-04,2011-08-31,65.0
12484.0,2011-11-07,2011-11-04,3.0
12488.0,2011-10-31,2011-09-25,36.0
12488.0,2011-11-30,2011-10-31,30.0
12490.0,2011-05-09,2011-01-14,115.0
12490.0,2011-06-20,2011-05-09,42.0
12490.0,2011-07-24,2011-06-20,34.0
12490.0,2011-08-31,2011-07-24,38.0
12490.0,2011-09-07,2011-08-31,7.0
12490.0,2011-11-02,2011-09-07,56.0
12490.0,2011-11-14,2011-11-02,12.0
12490.0,2011-11-22,2011-11-14,8.0
12490.0,2011-12-04,2011-11-22,12.0
12492.0,2011-10-07,2011-08-26,42.0
12493.0,2011-06-27,2011-05-26,32.0
12494.0,2010-12-16,2010-12-09,7.0
12494.0,2011-02-17,2010-12-16,63.0
12494.0,2011-05-27,2011-02-17,99.0
12494.0,2011-07-01,2011-05-27,35.0
12494.0,2011-10-30,2011-07-01,121.0
12494.0,2011-11-24,2011-10-30,25.0
12498.0,2011-11-18,2011-10-13,36.0
12500.0,2011-02-17,2011-01-10,38.0
12500.0,2011-03-03,2011-02-17,14.0
12500.0,2011-03-18,2011-03-03,15.0
12500.0,2011-06-24,2011-03-18,98.0
12500.0,2011-08-25,2011-06-24,62.0
12500.0,2011-10-06,2011-08-25,42.0
12500.0,2011-10-19,2011-10-06,13.0
12500.0,2011-10-21,2011-10-19,2.0
12500.0,2011-11-16,2011-10-21,26.0
12502.0,2011-03-16,2011-02-03,41.0
12502.0,2011-05-06,2011-03-16,51.0
12502.0,2011-08-04,2011-05-06,90.0
12502.0,2011-09-05,2011-08-04,32.0
12504.0,2011-11-21,2011-11-09,12.0
12507.0,2011-07-07,2011-02-14,143.0
12507.0,2011-07-28,2011-07-07,21.0
12508.0,2011-11-13,2011-11-10,3.0
12510.0,2011-07-20,2011-01-18,183.0
12516.0,2011-09-23,2011-06-12,103.0
12517.0,2011-08-05,2011-06-02,64.0
12517.0,2011-09-27,2011-08-05,53.0
12517.0,2011-11-11,2011-09-27,45.0
12518.0,2011-09-23,2011-08-21,33.0
12518.0,2011-10-12,2011-09-23,19.0
12518.0,2011-11-11,2011-10-12,30.0
12518.0,2011-12-09,2011-11-11,28.0
12520.0,2011-03-25,2011-03-11,14.0
12520.0,2011-05-19,2011-03-25,55.0
12520.0,2011-07-20,2011-05-19,62.0
12520.0,2011-09-21,2011-07-20,63.0
12522.0,2011-10-31,2011-10-19,12.0
12523.0,2011-02-21,2011-01-12,40.0
12523.0,2011-03-16,2011-02-21,23.0
12523.0,2011-04-01,2011-03-16,16.0
12523.0,2011-07-27,2011-04-01,117.0
12523.0,2011-08-21,2011-07-27,25.0
12523.0,2011-08-24,2011-08-21,3.0
12523.0,2011-09-21,2011-08-24,28.0
12523.0,2011-10-06,2011-09-21,15.0
12523.0,2011-10-27,2011-10-06,21.0
12523.0,2011-11-20,2011-10-27,24.0
12524.0,2011-02-21,2011-01-10,42.0
12524.0,2011-03-03,2011-02-21,10.0
12524.0,2011-05-01,2011-03-03,59.0
12524.0,2011-05-19,2011-05-01,18.0
12524.0,2011-06-30,2011-05-19,42.0
12524.0,2011-10-07,2011-06-30,99.0
12524.0,2011-11-30,2011-10-07,54.0
12526.0,2011-10-17,2011-09-06,41.0
12526.0,2011-12-09,2011-10-17,53.0
12527.0,2011-02-18,2011-01-18,31.0
12527.0,2011-09-19,2011-02-18,213.0
12528.0,2011-03-08,2011-01-31,36.0
12528.0,2011-07-13,2011-03-08,127.0
12528.0,2011-08-17,2011-07-13,35.0
12528.0,2011-10-07,2011-08-17,51.0
12528.0,2011-11-30,2011-10-07,54.0
12530.0,2011-04-20,2011-01-07,103.0
12530.0,2011-08-08,2011-04-20,110.0
12530.0,2011-10-11,2011-08-08,64.0
12535.0,2011-09-09,2011-06-06,95.0
12536.0,2011-10-27,2011-10-11,16.0
12539.0,2011-01-27,2011-01-10,17.0
12539.0,2011-03-22,2011-01-27,54.0
12539.0,2011-11-17,2011-03-22,240.0
12540.0,2011-01-11,2010-12-13,29.0
12540.0,2011-02-01,2011-01-11,21.0
12540.0,2011-03-24,2011-02-01,51.0
12540.0,2011-05-04,2011-03-24,41.0
12540.0,2011-05-31,2011-05-04,27.0
12540.0,2011-06-06,2011-05-31,6.0
12540.0,2011-07-07,2011-06-06,31.0
12540.0,2011-07-25,2011-07-07,18.0
12540.0,2011-08-24,2011-07-25,30.0
12540.0,2011-09-08,2011-08-24,15.0
12540.0,2011-09-19,2011-09-08,11.0
12540.0,2011-09-23,2011-09-19,4.0
12540.0,2011-10-07,2011-09-23,14.0
12540.0,2011-10-18,2011-10-07,11.0
12540.0,2011-11-08,2011-10-18,21.0
12540.0,2011-11-20,2011-11-08,12.0
12541.0,2011-06-19,2011-03-04,107.0
12541.0,2011-11-10,2011-06-19,144.0
12545.0,2011-09-25,2011-03-25,184.0
12546.0,2011-10-24,2011-09-23,31.0
12547.0,2011-05-26,2011-03-04,83.0
12552.0,2011-11-01,2011-10-31,1.0
12553.0,2011-02-18,2011-01-14,35.0
12553.0,2011-03-04,2011-02-18,14.0
12553.0,2011-03-25,2011-03-04,21.0
12553.0,2011-05-19,2011-03-25,55.0
12553.0,2011-07-08,2011-05-19,50.0
12553.0,2011-08-21,2011-07-08,44.0
12553.0,2011-10-12,2011-08-21,52.0
12553.0,2011-11-14,2011-10-12,33.0
12553.0,2011-12-01,2011-11-14,17.0
12556.0,2011-10-20,2011-07-11,101.0
12557.0,2011-01-11,2010-12-03,39.0
12557.0,2011-03-28,2011-01-11,76.0
12557.0,2011-07-04,2011-03-28,98.0
12557.0,2011-11-23,2011-07-04,142.0
12559.0,2011-02-02,2011-01-24,9.0
12560.0,2011-08-19,2011-07-19,31.0
12560.0,2011-12-04,2011-08-19,107.0
12562.0,2011-06-16,2011-05-25,22.0
12562.0,2011-08-05,2011-06-16,50.0
12562.0,2011-09-19,2011-08-05,45.0
12562.0,2011-10-14,2011-09-19,25.0
12562.0,2011-11-17,2011-10-14,34.0
12562.0,2011-12-01,2011-11-17,14.0
12567.0,2010-12-07,2010-12-05,2.0
12567.0,2011-02-04,2010-12-07,59.0
12567.0,2011-05-22,2011-02-04,107.0
12567.0,2011-06-08,2011-05-22,17.0
12567.0,2011-06-13,2011-06-08,5.0
12567.0,2011-08-23,2011-06-13,71.0
12567.0,2011-09-04,2011-08-23,12.0
12567.0,2011-11-17,2011-09-04,74.0
12569.0,2011-04-14,2011-04-01,13.0
12569.0,2011-05-04,2011-04-14,20.0
12569.0,2011-05-05,2011-05-04,1.0
12569.0,2011-06-09,2011-05-05,35.0
12569.0,2011-06-30,2011-06-09,21.0
12569.0,2011-07-19,2011-06-30,19.0
12569.0,2011-08-09,2011-07-19,21.0
12569.0,2011-08-16,2011-08-09,7.0
12569.0,2011-08-24,2011-08-16,8.0
12569.0,2011-09-04,2011-08-24,11.0
12569.0,2011-09-06,2011-09-04,2.0
12569.0,2011-09-08,2011-09-06,2.0
12569.0,2011-10-06,2011-09-08,28.0
12569.0,2011-10-12,2011-10-06,6.0
12569.0,2011-10-20,2011-10-12,8.0
12569.0,2011-10-26,2011-10-20,6.0
12569.0,2011-11-03,2011-10-26,8.0
12569.0,2011-11-15,2011-11-03,12.0
12569.0,2011-11-16,2011-11-15,1.0
12569.0,2011-11-23,2011-11-16,7.0
12569.0,2011-12-01,2011-11-23,8.0
12569.0,2011-12-02,2011-12-01,1.0
12569.0,2011-12-04,2011-12-02,2.0
12569.0,2011-12-05,2011-12-04,1.0
12569.0,2011-12-07,2011-12-05,2.0
12571.0,2011-10-31,2011-08-10,82.0
12572.0,2011-12-01,2011-10-19,43.0
12576.0,2011-05-05,2011-02-08,86.0
12576.0,2011-07-13,2011-05-05,69.0
12576.0,2011-09-05,2011-07-13,54.0
12576.0,2011-11-04,2011-09-05,60.0
12577.0,2011-11-04,2010-12-15,324.0
12578.0,2011-11-18,2011-01-13,309.0
12582.0,2011-04-15,2011-02-24,50.0
12583.0,2011-01-07,2010-12-01,37.0
12583.0,2011-02-10,2011-01-07,34.0
12583.0,2011-03-11,2011-02-10,29.0
12583.0,2011-05-23,2011-03-11,73.0
12583.0,2011-06-12,2011-05-23,20.0
12583.0,2011-06-21,2011-06-12,9.0
12583.0,2011-07-08,2011-06-21,17.0
12583.0,2011-08-25,2011-07-08,48.0
12583.0,2011-09-21,2011-08-25,27.0
12583.0,2011-09-30,2011-09-21,9.0
12583.0,2011-10-12,2011-09-30,12.0
12583.0,2011-11-08,2011-10-12,27.0
12583.0,2011-11-21,2011-11-08,13.0
12583.0,2011-12-07,2011-11-21,16.0
12584.0,2011-06-07,2011-03-04,95.0
12584.0,2011-07-26,2011-06-07,49.0
12584.0,2011-08-04,2011-07-26,9.0
12584.0,2011-09-20,2011-08-04,47.0
12584.0,2011-10-13,2011-09-20,23.0
12584.0,2011-10-30,2011-10-13,17.0
12584.0,2011-11-22,2011-10-30,23.0
12584.0,2011-12-06,2011-11-22,14.0
12585.0,2011-04-19,2010-12-23,117.0
12589.0,2011-11-11,2011-07-18,116.0
12592.0,2011-09-08,2011-05-10,121.0
12593.0,2011-08-02,2011-05-05,89.0
12593.0,2011-08-23,2011-08-02,21.0
12594.0,2011-02-18,2011-01-21,28.0
12594.0,2011-03-28,2011-02-18,38.0
12594.0,2011-04-19,2011-03-28,22.0
12594.0,2011-05-31,2011-04-19,42.0
12594.0,2011-06-09,2011-05-31,9.0
12594.0,2011-08-10,2011-06-09,62.0
12594.0,2011-10-24,2011-08-10,75.0
12594.0,2011-11-02,2011-10-24,9.0
12596.0,2011-10-19,2011-04-11,191.0
12597.0,2011-06-09,2011-03-16,85.0
12597.0,2011-10-30,2011-06-09,143.0
12597.0,2011-11-20,2011-10-30,21.0
12598.0,2011-05-03,2011-02-28,64.0
12598.0,2011-07-01,2011-05-03,59.0
12598.0,2011-09-29,2011-07-01,90.0
12598.0,2011-11-11,2011-09-29,43.0
12598.0,2011-11-20,2011-11-11,9.0
12598.0,2011-11-30,2011-11-20,10.0
12599.0,2011-02-27,2011-02-08,19.0
12599.0,2011-05-15,2011-02-27,77.0
12599.0,2011-06-28,2011-05-15,44.0
12599.0,2011-07-11,2011-06-28,13.0
12599.0,2011-08-05,2011-07-11,25.0
12599.0,2011-11-10,2011-08-05,97.0
12600.0,2010-12-17,2010-12-03,14.0
12600.0,2011-02-03,2010-12-17,48.0
12600.0,2011-03-20,2011-02-03,45.0
12600.0,2011-04-28,2011-03-20,39.0
12600.0,2011-05-19,2011-04-28,21.0
12600.0,2011-07-17,2011-05-19,59.0
12600.0,2011-08-19,2011-07-17,33.0
12600.0,2011-09-16,2011-08-19,28.0
12600.0,2011-11-11,2011-09-16,56.0
12601.0,2011-02-10,2011-01-11,30.0
12601.0,2011-03-31,2011-02-10,49.0
12601.0,2011-05-19,2011-03-31,49.0
12601.0,2011-06-03,2011-05-19,15.0
12604.0,2011-09-21,2011-03-23,182.0
12609.0,2011-06-06,2011-01-25,132.0
12609.0,2011-09-22,2011-06-06,108.0
12610.0,2011-08-25,2011-08-05,20.0
12610.0,2011-10-25,2011-08-25,61.0
12610.0,2011-10-27,2011-10-25,2.0
12610.0,2011-11-17,2011-10-27,21.0
12613.0,2011-05-26,2011-03-22,65.0
12613.0,2011-10-13,2011-05-26,140.0
12615.0,2011-09-29,2011-06-24,97.0
12615.0,2011-11-03,2011-09-29,35.0
12615.0,2011-12-07,2011-11-03,34.0
12616.0,2011-09-05,2011-02-15,202.0
12619.0,2011-04-19,2011-03-31,19.0
12619.0,2011-07-04,2011-04-19,76.0
12619.0,2011-07-14,2011-07-04,10.0
12619.0,2011-08-15,2011-07-14,32.0
12619.0,2011-09-13,2011-08-15,29.0
12619.0,2011-09-23,2011-09-13,10.0
12619.0,2011-11-06,2011-09-23,44.0
12619.0,2011-11-23,2011-11-06,17.0
12620.0,2011-09-20,2011-05-19,124.0
12620.0,2011-11-25,2011-09-20,66.0
12621.0,2010-12-17,2010-12-09,8.0
12621.0,2011-02-14,2010-12-17,59.0
12621.0,2011-02-21,2011-02-14,7.0
12621.0,2011-03-25,2011-02-21,32.0
12621.0,2011-04-27,2011-03-25,33.0
12621.0,2011-05-09,2011-04-27,12.0
12621.0,2011-05-12,2011-05-09,3.0
12621.0,2011-05-23,2011-05-12,11.0
12621.0,2011-06-16,2011-05-23,24.0
12621.0,2011-07-15,2011-06-16,29.0
12621.0,2011-08-23,2011-07-15,39.0
12621.0,2011-08-31,2011-08-23,8.0
12621.0,2011-09-19,2011-08-31,19.0
12621.0,2011-10-18,2011-09-19,29.0
12621.0,2011-11-16,2011-10-18,29.0
12621.0,2011-12-08,2011-11-16,22.0
12624.0,2011-08-25,2011-06-15,71.0
12625.0,2011-05-12,2011-01-24,108.0
12626.0,2011-01-27,2011-01-17,10.0
12626.0,2011-06-30,2011-01-27,154.0
12626.0,2011-07-21,2011-06-30,21.0
12626.0,2011-08-04,2011-07-21,14.0
12626.0,2011-08-19,2011-08-04,15.0
12626.0,2011-10-06,2011-08-19,48.0
12626.0,2011-10-27,2011-10-06,21.0
12626.0,2011-11-16,2011-10-27,20.0
12627.0,2011-08-02,2011-07-22,11.0
12627.0,2011-08-22,2011-08-02,20.0
12627.0,2011-08-23,2011-08-22,1.0
12627.0,2011-09-04,2011-08-23,12.0
12627.0,2011-10-06,2011-09-04,32.0
12627.0,2011-11-29,2011-10-06,54.0
12628.0,2011-11-06,2011-10-06,31.0
12628.0,2011-12-05,2011-11-06,29.0
12630.0,2011-11-30,2011-10-27,34.0
12633.0,2011-05-27,2011-02-25,91.0
12633.0,2011-08-02,2011-05-27,67.0
12633.0,2011-10-12,2011-08-02,71.0
12635.0,2011-09-11,2011-07-08,65.0
12637.0,2011-03-21,2011-01-20,60.0
12637.0,2011-04-14,2011-03-21,24.0
12637.0,2011-07-05,2011-04-14,82.0
12637.0,2011-09-07,2011-07-05,64.0
12637.0,2011-09-09,2011-09-07,2.0
12637.0,2011-10-03,2011-09-09,24.0
12640.0,2011-11-15,2011-09-19,57.0
12640.0,2011-11-16,2011-11-15,1.0
12642.0,2011-10-20,2011-08-24,57.0
