CustomerID,订单数,购买商品数,总消费金额,平均订单行金额,平均客单价,首次购买日期,最近购买日期,客户分层
12398.0,1,1394,1635.66,19.24,1635.66,2011-10-25 10:27:00,2011-10-25 10:27:00,中价值客户
12399.0,4,1178,1108.65,18.79,277.16,2011-03-23 09:42:00,2011-08-12 13:15:00,中价值客户
12401.0,1,11,84.3,16.86,84.3,2011-02-09 13:50:00,2011-02-09 13:50:00,低价值客户
12402.0,1,94,225.6,20.51,225.6,2011-01-20 13:49:00,2011-01-20 13:49:00,低价值客户
12403.0,1,96,427.7,85.54,427.7,2011-10-21 10:51:00,2011-10-21 10:51:00,低价值客户
12405.0,1,857,1710.39,31.67,1710.39,2011-07-14 08:52:00,2011-07-14 08:52:00,中价值客户
12406.0,2,1818,3415.3,32.53,1707.65,2011-06-09 10:23:00,2011-11-17 19:22:00,中价值客户
12407.0,5,1416,1708.12,22.18,341.62,2011-03-20 13:21:00,2011-10-21 10:11:00,中价值客户
12408.0,5,1409,2888.55,27.51,577.71,2011-03-24 14:46:00,2011-11-07 12:27:00,中价值客户
12409.0,3,5551,11072.67,101.58,3690.89,2011-06-10 12:19:00,2011-09-22 10:38:00,高价值客户
12410.0,2,211,693.33,26.67,346.67,2011-02-04 10:38:00,2011-02-04 10:39:00,中价值客户
12412.0,3,829,1226.88,20.11,408.96,2011-06-23 13:51:00,2011-09-26 10:16:00,中价值客户
12413.0,3,286,758.1,19.95,252.7,2011-01-06 16:12:00,2011-10-04 09:00:00,中价值客户
12414.0,3,300,562.41,31.24,187.47,2011-02-02 14:51:00,2011-05-06 14:51:00,低价值客户
12415.0,21,77374,124914.53,174.95,5948.31,2011-01-06 11:12:00,2011-11-15 14:22:00,高价值客户
12417.0,9,1552,3649.1,19.01,405.46,2010-12-17 11:51:00,2011-12-06 14:52:00,高价值客户
12418.0,1,407,668.58,19.66,668.58,2011-08-19 11:08:00,2011-08-19 11:08:00,低价值客户
12420.0,1,345,600.39,20.7,600.39,2011-10-07 08:55:00,2011-10-07 08:55:00,低价值客户
12421.0,4,484,807.04,17.93,201.76,2011-01-24 15:09:00,2011-11-24 09:07:00,中价值客户
12422.0,3,370,803.56,20.6,267.85,2011-01-19 09:13:00,2011-09-05 09:48:00,中价值客户
12423.0,8,1339,1859.31,14.87,232.41,2010-12-21 10:54:00,2011-12-09 10:10:00,中价值客户
12424.0,2,740,1760.96,58.7,880.48,2011-06-30 12:06:00,2011-06-30 12:06:00,中价值客户
12425.0,1,496,777.2,21.59,777.2,2011-09-22 17:31:00,2011-09-22 17:31:00,中价值客户
12426.0,1,258,582.73,19.42,582.73,2011-05-29 12:26:00,2011-05-29 12:26:00,低价值客户
12427.0,3,533,825.8,26.64,275.27,2010-12-03 10:44:00,2011-11-18 08:56:00,中价值客户
12428.0,9,3536,7956.46,27.06,884.05,2011-03-01 09:33:00,2011-11-14 08:22:00,高价值客户
12429.0,4,1557,3750.4,38.66,937.6,2010-12-09 12:05:00,2011-11-30 17:22:00,高价值客户
12430.0,1,117,256.4,23.31,256.4,2011-10-27 15:09:00,2011-10-27 15:09:00,低价值客户
12431.0,15,2906,6487.45,27.61,432.5,2010-12-01 10:03:00,2011-11-04 11:55:00,高价值客户
12432.0,5,1801,5059.32,46.85,1011.86,2011-06-20 13:27:00,2011-10-28 11:43:00,高价值客户
12433.0,7,11071,13375.87,31.85,1910.84,2010-12-01 13:24:00,2011-12-09 10:02:00,高价值客户
12434.0,2,394,806.14,16.12,403.07,2011-03-24 13:05:00,2011-09-16 12:38:00,中价值客户
12435.0,2,2055,7829.89,217.5,3914.95,2011-03-17 07:40:00,2011-09-21 09:06:00,高价值客户
12436.0,1,211,509.01,31.81,509.01,2011-09-01 12:09:00,2011-09-01 12:09:00,低价值客户
12437.0,18,2922,4951.41,24.88,275.08,2011-01-12 14:13:00,2011-12-08 11:35:00,高价值客户
12438.0,2,1180,2906.85,29.66,1453.42,2011-07-22 13:29:00,2011-11-25 13:28:00,中价值客户
12441.0,1,121,173.55,15.78,173.55,2010-12-08 10:45:00,2010-12-08 10:45:00,低价值客户
12442.0,1,182,172.06,14.34,172.06,2011-12-06 14:22:00,2011-12-06 14:22:00,低价值客户
12444.0,5,1153,5005.46,28.44,1001.09,2011-06-21 14:00:00,2011-11-18 13:23:00,高价值客户
12445.0,1,62,133.4,33.35,133.4,2011-11-17 18:43:00,2011-11-17 18:43:00,低价值客户
12446.0,1,351,1002.31,17.58,1002.31,2011-10-13 12:50:00,2011-10-13 12:50:00,中价值客户
12447.0,1,190,476.49,18.33,476.49,2011-04-10 13:25:00,2011-04-10 13:25:00,低价值客户
12448.0,1,243,449.45,20.43,449.45,2011-10-26 13:46:00,2011-10-26 13:46:00,低价值客户
12449.0,4,1553,4067.29,21.29,1016.82,2011-06-05 15:37:00,2011-11-17 13:46:00,高价值客户
12450.0,2,128,197.88,24.73,98.94,2011-06-19 14:36:00,2011-07-06 14:41:00,低价值客户
12451.0,5,6575,9035.52,25.52,1807.1,2011-01-19 09:05:00,2011-11-29 08:40:00,高价值客户
12452.0,2,185,430.57,19.57,215.28,2011-11-23 08:05:00,2011-11-23 10:28:00,低价值客户
12453.0,1,473,707.09,16.44,707.09,2011-07-28 14:08:00,2011-07-28 14:08:00,中价值客户
12454.0,1,1006,3528.34,235.22,3528.34,2011-10-14 17:13:00,2011-10-14 17:13:00,中价值客户
12455.0,6,2089,2466.86,27.41,411.14,2011-02-16 09:56:00,2011-09-27 15:31:00,中价值客户
12456.0,3,1633,3181.04,25.45,1060.35,2011-03-30 09:12:00,2011-10-26 14:41:00,中价值客户
12457.0,7,843,2363.23,38.12,337.6,2011-04-14 18:57:00,2011-10-04 13:13:00,中价值客户
12458.0,2,506,947.4,24.93,473.7,2011-02-28 10:55:00,2011-09-29 15:25:00,中价值客户
12461.0,2,287,826.88,23.63,413.44,2011-07-08 10:23:00,2011-09-06 16:57:00,中价值客户
12462.0,2,536,1189.59,19.19,594.79,2011-02-09 14:44:00,2011-11-21 09:11:00,中价值客户
12463.0,4,776,1344.78,16.2,336.19,2011-04-12 12:47:00,2011-10-17 13:44:00,中价值客户
12464.0,8,112,1212.05,41.79,151.51,2011-02-03 13:30:00,2011-11-29 13:33:00,中价值客户
12465.0,2,479,742.19,15.79,371.09,2011-06-23 13:37:00,2011-11-22 16:34:00,中价值客户
12468.0,2,366,729.54,19.2,364.77,2011-01-27 13:29:00,2011-06-05 11:36:00,中价值客户
12471.0,30,8212,19824.05,43.1,660.8,2010-12-10 09:35:00,2011-12-07 15:43:00,高价值客户
12472.0,7,4148,6572.11,19.39,938.87,2010-12-05 14:19:00,2011-11-07 14:01:00,高价值客户
12473.0,5,2439,3938.55,23.44,787.71,2011-06-01 10:15:00,2011-11-10 13:46:00,高价值客户
12474.0,18,4847,7375.79,17.4,409.77,2011-01-14 10:06:00,2011-11-22 14:39:00,高价值客户
12475.0,1,535,723.38,20.09,723.38,2011-10-17 10:10:00,2011-10-17 10:10:00,中价值客户
12476.0,11,2408,6816.42,29.26,619.67,2010-12-13 14:39:00,2011-11-24 12:40:00,高价值客户
12477.0,6,3653,13219.74,44.07,2203.29,2011-02-11 12:45:00,2011-11-17 09:51:00,高价值客户
12478.0,1,236,680.99,18.92,680.99,2011-12-06 09:56:00,2011-12-06 09:56:00,中价值客户
12479.0,1,385,527.2,17.01,527.2,2011-11-28 13:26:00,2011-11-28 13:26:00,低价值客户
12480.0,4,1707,3281.63,21.31,820.41,2011-01-07 15:27:00,2011-11-11 14:52:00,中价值客户
12481.0,10,3304,5596.32,25.79,559.63,2010-12-09 10:13:00,2011-11-17 08:29:00,高价值客户
12483.0,8,1110,2484.98,33.13,310.62,2011-01-04 14:20:00,2011-11-22 17:02:00,中价值客户
12484.0,6,2191,4541.72,13.13,756.95,2011-01-07 14:04:00,2011-11-07 11:37:00,高价值客户
12488.0,3,529,1298.66,23.61,432.89,2011-09-25 10:34:00,2011-11-30 08:50:00,中价值客户
12489.0,1,105,334.93,22.33,334.93,2011-01-07 13:13:00,2011-01-07 13:13:00,低价值客户
12490.0,10,3064,5417.93,22.11,541.79,2011-01-14 09:13:00,2011-12-04 16:07:00,高价值客户
12491.0,1,260,460.4,17.71,460.4,2011-11-01 12:18:00,2011-11-01 12:18:00,低价值客户
12492.0,2,192,263.21,13.16,131.61,2011-08-26 14:51:00,2011-10-07 15:15:00,低价值客户
12493.0,2,207,433.74,19.72,216.87,2011-05-26 14:53:00,2011-06-27 10:17:00,低价值客户
12494.0,7,707,1246.1,16.18,178.01,2010-12-09 11:31:00,2011-11-24 09:34:00,中价值客户
12497.0,1,1236,1043.1,74.51,1043.1,2011-09-19 12:29:00,2011-09-19 12:29:00,中价值客户
12498.0,3,159,403.7,17.55,134.57,2011-10-13 09:30:00,2011-11-18 12:53:00,低价值客户
12500.0,11,2678,4257.82,69.8,387.07,2011-01-10 09:48:00,2011-11-16 16:20:00,高价值客户
12501.0,1,1783,2169.39,14.56,2169.39,2011-01-07 12:28:00,2011-01-07 12:28:00,中价值客户
12502.0,5,820,3723.87,25.33,744.77,2011-02-03 10:41:00,2011-09-05 11:52:00,高价值客户
12504.0,2,90,482.05,53.56,241.02,2011-11-09 14:56:00,2011-11-21 16:02:00,低价值客户
12506.0,1,23,73.5,3.2,73.5,2011-04-21 08:54:00,2011-04-21 08:54:00,低价值客户
12507.0,3,894,1304.81,62.13,434.94,2011-02-14 09:24:00,2011-07-28 17:09:00,中价值客户
12508.0,2,272,398.27,5.77,199.13,2011-11-10 16:27:00,2011-11-13 15:37:00,低价值客户
12509.0,1,55,176.5,25.21,176.5,2011-02-28 14:45:00,2011-02-28 14:45:00,低价值客户
12510.0,2,353,982.57,29.77,491.28,2011-01-18 14:04:00,2011-07-20 10:15:00,中价值客户
12512.0,2,99,138.03,4.06,69.02,2011-10-04 14:53:00,2011-10-04 14:55:00,低价值客户
12513.0,1,462,612.29,17.49,612.29,2011-08-19 10:51:00,2011-08-19 10:51:00,低价值客户
12514.0,1,440,1017.68,19.95,1017.68,2011-03-17 16:38:00,2011-03-17 16:38:00,中价值客户
12515.0,1,131,383.7,23.98,383.7,2010-12-21 15:43:00,2010-12-21 15:43:00,低价值客户
12516.0,2,875,1312.06,50.46,656.03,2011-06-12 11:37:00,2011-09-23 09:13:00,中价值客户
12517.0,5,1371,2502.84,8.81,500.57,2011-06-02 15:13:00,2011-11-11 14:04:00,中价值客户
12518.0,5,1318,2056.89,16.59,411.38,2011-08-21 13:18:00,2011-12-09 10:13:00,中价值客户
12519.0,1,183,340.84,18.94,340.84,2011-10-07 09:26:00,2011-10-07 09:26:00,低价值客户
12520.0,5,1439,2634.26,17.33,526.85,2011-03-11 11:35:00,2011-09-21 15:23:00,中价值客户
12521.0,1,309,599.68,15.78,599.68,2011-07-20 10:51:00,2011-07-20 10:51:00,低价值客户
12522.0,2,194,192.72,16.06,96.36,2011-10-19 14:41:00,2011-10-31 15:30:00,低价值客户
12523.0,11,865,1789.77,16.88,162.71,2011-01-12 09:43:00,2011-11-20 12:55:00,中价值客户
12524.0,8,3699,4485.72,31.15,560.72,2011-01-10 10:35:00,2011-11-30 15:31:00,高价值客户
12526.0,3,632,1316.66,18.54,438.89,2011-09-06 14:19:00,2011-12-09 12:09:00,中价值客户
12527.0,3,234,348.71,19.37,116.24,2011-01-18 12:05:00,2011-09-19 11:55:00,低价值客户
12528.0,6,756,1933.48,21.02,322.25,2011-01-31 09:05:00,2011-11-30 14:40:00,中价值客户
12530.0,4,913,1662.28,25.19,415.57,2011-01-07 10:04:00,2011-10-11 12:34:00,中价值客户
12531.0,1,45,125.22,7.37,125.22,2011-11-25 11:12:00,2011-11-25 11:12:00,低价值客户
12532.0,1,153,349.83,21.86,349.83,2011-11-09 13:47:00,2011-11-09 13:47:00,低价值客户
12534.0,1,651,1089.18,17.29,1089.18,2011-08-01 10:26:00,2011-08-01 10:26:00,中价值客户
12535.0,2,219,716.35,21.07,358.18,2011-06-06 12:47:00,2011-09-09 08:48:00,中价值客户
12536.0,3,2803,12601.83,48.28,4200.61,2011-10-11 14:52:00,2011-10-27 14:20:00,高价值客户
12538.0,1,191,363.95,17.33,363.95,2011-11-10 17:16:00,2011-11-10 17:16:00,低价值客户
12539.0,4,2067,5568.35,20.4,1392.09,2011-01-10 09:11:00,2011-11-17 13:30:00,高价值客户
12540.0,17,6685,13400.24,28.03,788.25,2010-12-13 09:39:00,2011-11-20 11:31:00,高价值客户
12541.0,3,680,981.18,18.87,327.06,2011-03-04 09:32:00,2011-11-10 10:40:00,中价值客户
12544.0,1,136,372.7,19.62,372.7,2011-11-03 16:15:00,2011-11-03 16:15:00,低价值客户
12545.0,2,523,1000.39,20.01,500.19,2011-03-25 12:04:00,2011-09-25 13:39:00,中价值客户
12546.0,2,633,1161.5,16.83,580.75,2011-09-23 09:44:00,2011-10-24 12:09:00,中价值客户
12547.0,2,134,207.8,25.97,103.9,2011-03-04 12:46:00,2011-05-26 12:38:00,低价值客户
12548.0,1,49,95.2,19.04,95.2,2011-06-26 15:35:00,2011-06-26 15:35:00,低价值客户
12550.0,1,569,964.83,16.93,964.83,2011-09-21 14:35:00,2011-09-21 14:35:00,中价值客户
12551.0,1,100,168.0,16.8,168.0,2010-12-17 11:23:00,2010-12-17 11:23:00,低价值客户
12552.0,2,88,437.82,21.89,218.91,2011-10-31 12:11:00,2011-11-01 10:02:00,低价值客户
12553.0,10,1965,3692.28,19.33,369.23,2011-01-14 10:42:00,2011-12-01 16:38:00,高价值客户
12556.0,2,358,603.71,4.99,301.86,2011-07-11 13:35:00,2011-10-20 13:06:00,低价值客户
12557.0,5,4384,11990.96,363.36,2398.19,2010-12-03 12:20:00,2011-11-23 16:59:00,高价值客户
12558.0,1,196,269.96,24.54,269.96,2011-12-02 10:41:00,2011-12-02 10:41:00,低价值客户
12559.0,2,283,561.71,26.75,280.86,2011-01-24 10:12:00,2011-02-02 09:49:00,低价值客户
12560.0,3,1110,2134.01,20.32,711.34,2011-07-19 15:55:00,2011-12-04 13:54:00,中价值客户
12561.0,1,177,238.85,14.93,238.85,2011-02-10 11:39:00,2011-02-10 11:39:00,低价值客户
12562.0,7,1779,3781.74,22.51,540.25,2011-05-25 12:44:00,2011-12-01 17:20:00,高价值客户
12564.0,1,133,456.9,21.76,456.9,2011-03-23 14:55:00,2011-03-23 14:55:00,低价值客户
12565.0,1,80,145.92,16.21,145.92,2011-02-24 10:34:00,2011-02-24 10:34:00,低价值客户
12566.0,1,265,351.65,18.51,351.65,2011-09-14 14:30:00,2011-09-14 14:30:00,低价值客户
12567.0,10,4305,9401.28,21.08,940.13,2010-12-05 11:57:00,2011-11-17 11:02:00,高价值客户
12569.0,32,1801,4124.69,21.94,128.9,2011-04-01 13:47:00,2011-12-07 16:24:00,高价值客户
12571.0,2,523,519.61,15.28,259.81,2011-08-10 12:35:00,2011-10-31 10:19:00,低价值客户
12572.0,2,452,1020.42,17.01,510.21,2011-10-19 08:20:00,2011-12-01 09:20:00,中价值客户
12573.0,1,84,160.54,5.73,160.54,2011-04-26 15:52:00,2011-04-26 15:52:00,低价值客户
12574.0,1,61,218.45,19.86,218.45,2011-01-28 09:20:00,2011-01-28 09:20:00,低价值客户
12576.0,5,967,1315.83,14.95,263.17,2011-02-08 11:31:00,2011-11-04 10:11:00,中价值客户
12577.0,3,472,657.8,4.47,219.27,2010-12-15 16:21:00,2011-11-04 13:24:00,低价值客户
12578.0,2,1196,2794.51,24.51,1397.26,2011-01-13 15:34:00,2011-11-18 13:30:00,中价值客户
12579.0,1,285,440.42,15.19,440.42,2011-09-22 17:15:00,2011-09-22 17:15:00,低价值客户
12580.0,1,238,415.7,17.32,415.7,2011-04-07 10:24:00,2011-04-07 10:24:00,低价值客户
12581.0,1,161,197.71,13.18,197.71,2011-10-31 08:56:00,2011-10-31 08:56:00,低价值客户
12582.0,2,300,511.36,23.24,255.68,2011-02-24 11:42:00,2011-04-15 08:45:00,低价值客户
12583.0,15,5060,7281.38,29.48,485.43,2010-12-01 08:45:00,2011-12-07 08:07:00,高价值客户
12584.0,9,416,2338.15,24.36,259.79,2011-03-04 15:15:00,2011-12-06 09:35:00,中价值客户
12585.0,2,1279,2040.1,23.45,1020.05,2010-12-23 12:58:00,2011-04-19 13:39:00,中价值客户
12586.0,1,79,196.94,17.9,196.94,2011-11-22 16:24:00,2011-11-22 16:24:00,低价值客户
12587.0,1,51,144.0,36.0,144.0,2011-12-02 12:47:00,2011-12-02 12:47:00,低价值客户
12588.0,1,53,214.9,21.49,214.9,2011-10-31 15:01:00,2011-10-31 15:01:00,低价值客户
12589.0,2,306,646.68,18.48,323.34,2011-07-18 12:05:00,2011-11-11 10:19:00,低价值客户
12590.0,2,4283,9864.26,145.06,4932.13,2011-05-12 14:46:00,2011-05-12 14:52:00,高价值客户
12591.0,1,228,452.85,17.42,452.85,2011-01-26 14:35:00,2011-01-26 14:35:00,低价值客户
12592.0,2,290,437.6,24.31,218.8,2011-05-10 13:44:00,2011-09-08 15:04:00,低价值客户
12593.0,3,206,418.1,19.91,139.37,2011-05-05 09:29:00,2011-08-23 12:43:00,低价值客户
12594.0,10,1777,3338.22,28.29,333.82,2011-01-21 09:52:00,2011-11-02 12:20:00,中价值客户
12596.0,2,474,618.27,22.9,309.13,2011-04-11 13:22:00,2011-10-19 13:02:00,低价值客户
12597.0,4,2236,3811.22,18.5,952.8,2011-03-16 14:00:00,2011-11-20 13:33:00,高价值客户
12598.0,8,1964,3023.08,22.9,377.88,2011-02-28 11:58:00,2011-11-30 12:18:00,中价值客户
12599.0,7,956,1032.58,16.65,147.51,2011-02-08 13:28:00,2011-11-10 13:34:00,中价值客户
12600.0,10,774,2599.04,40.61,259.9,2010-12-03 12:57:00,2011-11-11 10:29:00,中价值客户
12601.0,5,245,577.06,20.61,115.41,2011-01-11 10:38:00,2011-06-03 10:17:00,低价值客户
12602.0,1,162,153.12,12.76,153.12,2011-10-12 11:22:00,2011-10-12 11:22:00,低价值客户
12603.0,1,63,739.2,369.6,739.2,2011-11-18 10:42:00,2011-11-18 10:42:00,中价值客户
12604.0,2,201,254.18,15.89,127.09,2011-03-23 12:06:00,2011-09-21 14:08:00,低价值客户
12607.0,1,1228,1579.51,15.64,1579.51,2011-10-10 16:06:00,2011-10-10 16:06:00,中价值客户
12609.0,3,648,1126.85,18.78,375.62,2011-01-25 15:13:00,2011-09-22 16:34:00,中价值客户
12610.0,5,1049,2099.54,19.81,419.91,2011-08-05 13:52:00,2011-11-17 09:34:00,中价值客户
12611.0,1,846,1193.32,18.36,1193.32,2011-10-18 13:12:00,2011-10-18 13:12:00,中价值客户
12612.0,1,262,704.04,37.05,704.04,2011-09-26 15:35:00,2011-09-26 15:35:00,中价值客户
12613.0,5,1644,3344.38,21.86,668.88,2011-03-22 15:42:00,2011-10-13 14:59:00,中价值客户
12614.0,1,76,315.6,15.78,315.6,2011-03-07 10:22:00,2011-03-07 10:22:00,低价值客户
12615.0,4,1376,2291.19,21.82,572.8,2011-06-24 13:35:00,2011-12-07 15:02:00,中价值客户
12616.0,2,284,713.3,22.29,356.65,2011-02-15 14:17:00,2011-09-05 15:17:00,中价值客户
12617.0,1,213,355.53,8.46,355.53,2011-11-10 14:39:00,2011-11-10 14:39:00,低价值客户
12618.0,1,96,177.31,16.12,177.31,2011-11-18 11:10:00,2011-11-18 11:10:00,低价值客户
12619.0,9,3378,3641.24,40.46,404.58,2011-03-31 13:10:00,2011-11-23 14:52:00,高价值客户
12620.0,3,1181,1339.41,14.56,446.47,2011-05-19 12:10:00,2011-11-25 10:20:00,中价值客户
12621.0,20,7440,13689.67,29.31,684.48,2010-12-09 10:16:00,2011-12-08 11:25:00,高价值客户
12622.0,1,69,180.1,16.37,180.1,2011-04-21 16:39:00,2011-04-21 16:39:00,低价值客户
12623.0,1,191,305.1,16.95,305.1,2011-03-08 13:50:00,2011-03-08 13:50:00,低价值客户
12624.0,2,355,641.13,16.87,320.56,2011-06-15 12:34:00,2011-08-25 15:04:00,低价值客户
12625.0,2,1612,2683.82,31.21,1341.91,2011-01-24 13:27:00,2011-05-12 09:54:00,中价值客户
12626.0,9,3453,6620.48,22.52,735.61,2011-01-17 11:01:00,2011-11-16 16:06:00,高价值客户
12627.0,7,2752,4478.53,19.47,639.79,2011-07-22 13:59:00,2011-11-29 12:07:00,高价值客户
12628.0,3,448,786.46,19.18,262.15,2011-10-06 09:28:00,2011-12-05 13:15:00,中价值客户
12630.0,2,548,1270.88,19.86,635.44,2011-10-27 10:41:00,2011-11-30 10:48:00,中价值客户
12631.0,1,236,640.5,20.66,640.5,2011-10-13 13:53:00,2011-10-13 13:53:00,低价值客户
12633.0,4,1162,2163.98,21.43,541.0,2011-02-25 08:44:00,2011-10-12 11:40:00,中价值客户
12635.0,2,1172,1689.18,16.72,844.59,2011-07-08 08:43:00,2011-09-11 11:04:00,中价值客户
12637.0,8,3002,6021.9,15.44,752.74,2011-01-20 10:47:00,2011-10-03 13:46:00,高价值客户
12638.0,1,577,671.69,17.22,671.69,2011-11-06 13:11:00,2011-11-06 13:11:00,低价值客户
12639.0,1,201,486.1,22.1,486.1,2011-04-15 12:48:00,2011-04-15 12:48:00,低价值客户
12640.0,3,311,1174.58,22.16,391.53,2011-09-19 12:01:00,2011-11-16 11:52:00,中价值客户
12641.0,1,72,185.9,18.59,185.9,2011-08-16 13:26:00,2011-08-16 13:26:00,低价值客户
12642.0,3,552,1013.26,21.56,337.75,2011-08-24 09:23:00,2011-11-14 15:03:00,中价值客户
12643.0,6,1808,3344.64,139.36,557.44,2011-01-11 11:48:00,2011-08-03 12:56:00,中价值客户
12644.0,1,325,477.91,15.42,477.91,2011-08-02 10:33:00,2011-08-02 10:33:00,低价值客户
12645.0,4,1084,1775.18,24.32,443.8,2011-01-27 13:08:00,2011-11-06 12:38:00,中价值客户
12646.0,2,897,1346.97,29.93,673.49,2011-10-21 12:52:00,2011-12-05 10:14:00,中价值客户
12647.0,12,1431,3722.82,30.77,310.24,2010-12-05 14:02:00,2011-11-17 12:56:00,高价值客户
12648.0,1,160,318.05,15.15,318.05,2011-07-08 11:55:00,2011-07-08 11:55:00,低价值客户
12649.0,3,586,623.51,20.11,207.84,2011-05-11 14:37:00,2011-08-24 14:41:00,低价值客户
12650.0,1,254,314.44,15.72,314.44,2011-12-06 16:34:00,2011-12-06 16:34:00,低价值客户
12651.0,1,78,114.0,12.67,114.0,2011-01-09 12:46:00,2011-01-09 12:46:00,低价值客户
12652.0,1,505,919.98,19.17,919.98,2011-01-12 15:00:00,2011-01-12 15:00:00,中价值客户
12653.0,2,919,2209.85,51.39,1104.92,2011-02-16 10:53:00,2011-07-14 10:41:00,中价值客户
12654.0,5,264,601.98,15.84,120.4,2011-02-17 13:16:00,2011-11-29 10:10:00,低价值客户
12656.0,5,1723,4051.17,32.15,810.23,2011-04-20 09:20:00,2011-11-22 13:42:00,高价值客户
12657.0,4,1044,1643.18,34.96,410.8,2011-09-22 11:40:00,2011-11-28 15:47:00,中价值客户
12658.0,1,320,686.05,19.06,686.05,2011-11-21 10:22:00,2011-11-21 10:22:00,中价值客户
12659.0,1,105,91.68,18.34,91.68,2011-11-10 11:53:00,2011-11-10 11:53:00,低价值客户
12660.0,1,127,245.1,18.85,245.1,2011-11-28 13:26:00,2011-11-28 13:26:00,低价值客户
