CustomerID,本次购买日期,距今天数
12582.0,2011-04-15,238
12583.0,2011-12-07,2
12584.0,2011-12-06,3
12585.0,2011-04-19,234
12586.0,2011-11-22,17
12587.0,2011-12-02,7
12588.0,2011-10-31,39
12589.0,2011-11-11,28
12590.0,2011-05-12,211
12591.0,2011-01-26,317
12592.0,2011-09-08,92
12593.0,2011-08-23,108
12594.0,2011-11-02,37
12596.0,2011-10-19,51
12597.0,2011-11-20,19
12598.0,2011-11-30,9
12599.0,2011-11-10,29
12600.0,2011-11-11,28
12601.0,2011-06-03,189
12602.0,2011-10-12,58
12603.0,2011-11-18,21
12604.0,2011-09-21,79
12607.0,2011-10-10,60
12609.0,2011-09-22,78
12610.0,2011-11-17,22
12611.0,2011-10-18,52
12612.0,2011-09-26,74
12613.0,2011-10-13,57
12614.0,2011-03-07,277
12615.0,2011-12-07,2
12616.0,2011-09-05,95
12617.0,2011-11-10,29
12618.0,2011-11-18,21
12619.0,2011-11-23,16
12620.0,2011-11-25,14
12621.0,2011-12-08,1
12622.0,2011-04-21,232
12623.0,2011-03-08,276
12624.0,2011-08-25,106
12625.0,2011-05-12,211
12626.0,2011-11-16,23
12627.0,2011-11-29,10
12628.0,2011-12-05,4
12630.0,2011-11-30,9
12631.0,2011-10-13,57
12633.0,2011-10-12,58
12635.0,2011-09-11,89
12637.0,2011-10-03,67
12638.0,2011-11-06,33
12639.0,2011-04-15,238
12640.0,2011-11-16,23
12641.0,2011-08-16,115
12642.0,2011-11-14,25
12643.0,2011-08-03,128
12644.0,2011-08-02,129
12645.0,2011-11-06,33
12646.0,2011-12-05,4
12647.0,2011-11-17,22
12648.0,2011-07-08,154
12649.0,2011-08-24,107
12650.0,2011-12-06,3
12651.0,2011-01-09,334
12652.0,2011-01-12,331
12653.0,2011-07-14,148
12654.0,2011-11-29,10
12656.0,2011-11-22,17
12657.0,2011-11-28,11
12658.0,2011-11-21,18
12659.0,2011-11-10,29
12660.0,2011-11-28,11
12662.0,2011-12-09,0
12664.0,2011-12-01,8
12665.0,2011-01-19,324
12667.0,2011-10-12,58
12668.0,2011-11-28,11
12669.0,2011-07-12,150
12670.0,2011-11-29,10
12672.0,2011-01-14,329
12673.0,2011-12-04,5
12674.0,2011-11-01,38
12676.0,2011-11-15,24
12678.0,2011-10-28,42
12679.0,2011-10-12,58
12680.0,2011-12-09,0
12681.0,2011-11-25,14
12682.0,2011-12-06,3
12683.0,2011-12-05,4
12684.0,2011-12-02,7
12685.0,2011-11-11,28
12686.0,2010-12-03,371
12688.0,2011-08-18,113
12689.0,2011-11-14,25
12690.0,2011-05-18,205
12691.0,2011-11-11,28
12693.0,2011-08-04,127
12694.0,2011-09-30,70
12695.0,2011-12-02,7
12697.0,2011-11-11,28
12700.0,2011-12-02,7
12701.0,2011-09-21,79
12702.0,2011-11-20,19
12703.0,2011-09-29,71
12704.0,2011-12-02,7
12705.0,2011-11-24,15
12707.0,2011-02-21,291
12708.0,2011-11-10,29
12709.0,2011-11-24,15
12710.0,2011-09-04,96
12712.0,2011-11-11,28
12713.0,2011-12-09,0
12714.0,2011-11-30,9
12715.0,2011-08-25,106
12716.0,2011-12-06,3
12717.0,2011-07-11,151
12718.0,2011-09-29,71
12719.0,2011-12-04,5
12720.0,2011-12-07,2
12721.0,2011-11-08,31
12722.0,2011-09-15,85
12723.0,2011-12-06,3
12724.0,2011-12-04,5
12725.0,2010-12-03,371
12726.0,2011-11-11,28
12727.0,2011-11-29,10
12728.0,2011-09-29,71
12729.0,2011-08-18,113
12731.0,2011-11-16,23
12732.0,2011-06-13,179
12733.0,2011-04-19,234
12734.0,2010-12-22,352
12735.0,2011-01-28,315
12736.0,2011-01-11,332
12738.0,2010-12-02,372
12739.0,2011-09-22,78
12740.0,2011-10-07,63
12743.0,2011-07-28,134
12744.0,2011-10-19,51
12747.0,2011-12-07,2
12748.0,2011-12-09,0
12749.0,2011-12-06,3
12750.0,2011-08-03,128
12752.0,2011-09-19,81
12753.0,2011-11-17,22
12754.0,2011-04-18,235
12755.0,2011-03-04,280
12756.0,2011-09-14,86
12757.0,2011-11-24,15
12758.0,2011-08-15,116
12759.0,2011-10-18,52
12762.0,2011-12-02,7
12763.0,2011-07-24,138
12764.0,2011-01-27,316
12766.0,2011-12-06,3
12769.0,2011-04-15,238
12770.0,2011-05-13,210
12772.0,2011-10-11,59
12775.0,2011-11-22,17
12778.0,2011-11-20,19
12779.0,2011-11-02,37
12781.0,2011-10-07,63
12782.0,2011-12-05,4
12783.0,2011-12-07,2
12784.0,2011-11-30,9
12785.0,2010-12-10,364
12787.0,2011-11-30,9
12789.0,2011-10-05,65
12790.0,2011-05-31,192
12791.0,2010-12-01,373
12792.0,2011-03-28,256
12793.0,2011-01-09,334
12794.0,2011-10-17,53
12795.0,2011-11-21,18
12797.0,2010-12-09,365
12798.0,2011-11-29,10
12802.0,2011-06-06,186
12808.0,2011-11-03,36
12809.0,2011-06-15,177
12811.0,2011-03-24,260
12812.0,2011-10-26,44
12814.0,2011-08-30,101
12815.0,2011-07-15,147
12816.0,2011-09-05,95
12817.0,2011-03-03,281
12818.0,2011-03-23,261
12820.0,2011-12-06,3
12821.0,2011-05-09,214
12822.0,2011-09-30,70
12823.0,2011-09-26,74
12824.0,2011-10-11,59
12826.0,2011-12-07,2
12827.0,2011-12-04,5
12828.0,2011-12-07,2
12829.0,2011-01-07,336
12830.0,2011-11-02,37
12831.0,2011-03-22,262
12832.0,2011-11-07,32
12833.0,2011-07-17,145
12834.0,2011-03-02,282
12836.0,2011-10-11,59
12837.0,2011-06-19,173
12838.0,2011-11-06,33
12839.0,2011-12-07,2
12840.0,2011-07-19,143
12841.0,2011-12-05,4
12842.0,2011-09-30,70
12843.0,2011-10-05,65
12844.0,2011-11-10,29
12845.0,2011-03-17,267
12847.0,2011-11-17,22
12849.0,2011-11-08,31
12851.0,2011-09-04,96
12852.0,2011-02-18,294
12853.0,2011-07-28,134
12854.0,2011-09-22,78
12855.0,2010-12-02,372
12856.0,2011-12-02,7
12857.0,2011-05-13,210
12863.0,2011-10-18,52
12864.0,2011-07-24,138
12865.0,2011-11-13,26
12866.0,2011-03-01,283
12867.0,2011-11-13,26
12868.0,2011-06-07,185
12871.0,2011-09-16,84
12872.0,2011-01-17,326
12873.0,2011-03-02,282
12875.0,2011-07-19,143
12876.0,2011-10-13,57
12877.0,2011-12-06,3
12878.0,2011-04-17,236
12879.0,2011-10-26,44
12881.0,2011-03-09,275
12882.0,2011-11-30,9
12883.0,2011-11-15,24
12884.0,2011-09-12,88
12885.0,2011-10-07,63
12886.0,2011-10-03,67
12888.0,2011-05-09,214
12890.0,2011-11-15,24
12891.0,2011-06-07,185
12893.0,2011-11-09,30
12895.0,2011-10-28,42
12897.0,2011-05-19,204
12901.0,2011-12-01,8
12902.0,2011-03-20,264
12904.0,2011-11-21,18
12906.0,2011-11-28,11
12908.0,2011-06-16,176
12909.0,2011-10-31,39
12910.0,2011-11-16,23
12912.0,2011-12-07,2
12913.0,2011-12-05,4
12915.0,2011-07-14,148
12916.0,2011-07-24,138
12917.0,2011-08-03,128
12919.0,2011-12-01,8
12920.0,2011-11-22,17
12921.0,2011-11-30,9
12922.0,2011-07-01,161
12923.0,2011-10-06,64
12924.0,2011-09-12,88
12925.0,2011-12-05,4
12928.0,2011-11-04,35
12929.0,2011-02-01,311
12930.0,2011-09-22,78
12931.0,2011-11-18,21
12933.0,2011-11-15,24
12935.0,2011-12-07,2
12936.0,2011-11-22,17
12937.0,2011-11-24,15
12938.0,2011-11-14,25
12939.0,2011-10-06,64
12940.0,2011-10-16,54
12942.0,2011-07-31,131
12944.0,2011-11-04,35
12945.0,2011-02-24,288
12947.0,2011-07-19,143
12948.0,2011-11-23,16
12949.0,2011-11-09,30
12950.0,2011-12-07,2
12951.0,2011-12-01,8
12952.0,2011-12-04,5
12953.0,2011-11-30,9
12955.0,2011-12-08,1
12956.0,2011-02-06,306
12957.0,2011-11-30,9
12962.0,2011-12-02,7
12963.0,2011-12-01,8
12965.0,2011-09-11,89
12966.0,2011-11-30,9
12967.0,2010-12-16,358
12968.0,2011-08-19,112
12970.0,2011-12-02,7
12971.0,2011-12-06,3
12974.0,2011-05-26,197
12976.0,2011-05-12,211
12977.0,2011-07-06,156
12980.0,2011-07-05,157
12981.0,2011-11-10,29
12982.0,2011-04-11,242
12984.0,2011-11-21,18
12985.0,2011-12-09,0
12987.0,2011-09-27,73
12988.0,2011-02-20,292
12989.0,2011-12-06,3
12990.0,2011-11-08,31
12991.0,2011-11-16,23
12993.0,2011-11-16,23
12994.0,2011-12-05,4
12995.0,2011-09-15,85
12997.0,2011-11-17,22
12999.0,2011-05-27,196
13000.0,2011-08-25,106
13001.0,2011-12-05,4
13002.0,2011-01-25,318
13003.0,2011-08-26,105
13004.0,2011-11-28,11
13005.0,2011-06-19,173
13006.0,2011-10-14,56
13008.0,2011-01-20,323
13011.0,2010-12-02,372
13012.0,2011-11-30,9
13013.0,2011-12-08,1
13014.0,2011-11-29,10
13015.0,2011-10-17,53
13016.0,2011-09-27,73
13017.0,2011-12-02,7
13018.0,2011-11-23,16
13021.0,2011-12-05,4
13023.0,2011-10-06,64
13026.0,2011-12-08,1
13027.0,2011-08-18,113
13028.0,2011-11-17,22
13029.0,2011-11-09,30
13030.0,2011-11-28,11
13032.0,2011-10-18,52
13033.0,2010-12-17,357
13034.0,2011-10-16,54
13035.0,2011-09-27,73
13037.0,2011-07-24,138
13038.0,2011-09-20,80
13040.0,2011-12-01,8
13043.0,2011-03-11,273
13044.0,2011-02-21,291
13045.0,2011-09-01,99
13046.0,2011-11-09,30
13047.0,2011-11-08,31
13048.0,2011-11-25,14
13049.0,2011-10-06,64
13050.0,2011-11-25,14
13052.0,2011-05-11,212
13055.0,2011-09-22,78
13058.0,2011-11-15,24
13059.0,2011-04-04,249
13060.0,2011-03-31,253
13061.0,2011-09-28,72
13062.0,2011-06-01,191
13064.0,2011-11-27,12
13065.0,2010-12-01,373
13066.0,2011-11-15,24
13067.0,2011-09-18,82
13068.0,2011-11-29,10
13069.0,2011-12-09,0
13070.0,2011-05-31,192
13072.0,2011-03-18,266
13075.0,2011-08-02,129
13077.0,2011-12-08,1
13078.0,2011-12-06,3
13079.0,2011-12-05,4
13080.0,2011-06-13,179
13081.0,2011-11-28,11
13082.0,2011-08-05,126
13083.0,2011-12-05,4
13085.0,2011-07-05,157
13089.0,2011-12-07,2
13090.0,2011-12-01,8
13091.0,2011-11-11,28
13092.0,2011-09-30,70
13093.0,2011-03-09,275
13094.0,2011-11-18,21
13095.0,2011-09-30,70
13097.0,2011-11-07,32
13098.0,2011-12-08,1
13099.0,2011-09-01,99
13101.0,2011-04-19,234
13102.0,2011-12-08,1
13103.0,2011-10-31,39
13104.0,2011-12-06,3
13106.0,2011-07-29,133
13107.0,2011-10-26,44
13108.0,2010-12-02,372
13109.0,2011-10-11,59
13110.0,2011-11-08,31
13113.0,2011-12-09,0
13115.0,2011-11-28,11
13116.0,2011-07-24,138
13117.0,2011-11-18,21
13118.0,2011-11-20,19
13120.0,2011-04-15,238
13121.0,2011-03-15,269
13122.0,2011-09-06,94
13124.0,2011-09-11,89
13126.0,2011-12-05,4
13127.0,2011-09-23,77
13130.0,2011-09-06,94
13131.0,2011-11-16,23
13132.0,2011-03-23,261
13133.0,2011-03-11,273
13134.0,2011-09-15,85
13135.0,2011-05-27,196
13136.0,2011-10-14,56
13137.0,2011-11-29,10
13138.0,2011-11-17,22
13139.0,2011-11-23,16
13140.0,2011-08-23,108
13141.0,2011-09-16,84
13142.0,2011-11-20,19
13144.0,2011-01-11,332
13145.0,2011-10-31,39
13146.0,2011-11-13,26
13147.0,2011-11-29,10
13148.0,2011-11-10,29
13149.0,2011-11-25,14
13151.0,2011-02-17,295
13153.0,2011-12-04,5
13155.0,2011-11-06,33
13157.0,2011-10-21,49
13158.0,2011-09-06,94
13159.0,2011-12-01,8
13160.0,2011-11-17,22
13161.0,2011-01-30,313
13162.0,2011-08-09,122
13165.0,2011-10-24,46
13166.0,2011-03-01,283
13167.0,2011-11-21,18
13168.0,2011-11-03,36
13169.0,2011-10-07,63
13170.0,2011-11-13,26
13171.0,2011-11-18,21
13173.0,2011-12-05,4
13174.0,2011-11-23,16
13176.0,2011-10-24,46
13177.0,2011-10-06,64
13178.0,2011-11-13,26
13182.0,2011-10-25,45
13183.0,2011-12-02,7
13184.0,2011-11-25,14
13185.0,2011-03-17,267
13186.0,2011-10-31,39
13187.0,2011-01-06,337
13188.0,2011-11-28,11
13189.0,2011-11-21,18
13192.0,2011-09-05,95
13193.0,2011-10-09,61
13194.0,2011-07-27,135
13196.0,2011-11-28,11
13198.0,2011-11-29,10
13199.0,2011-12-06,3
13200.0,2011-11-20,19
13203.0,2011-11-30,9
13207.0,2011-11-24,15
13208.0,2011-10-12,58
13209.0,2011-11-09,30
13210.0,2011-09-07,93
13211.0,2011-11-29,10
13212.0,2011-11-20,19
13213.0,2011-10-14,56
13216.0,2011-03-17,267
13217.0,2011-08-09,122
13218.0,2011-08-04,127
13220.0,2011-09-22,78
13221.0,2011-04-13,240
13223.0,2011-05-23,200
13224.0,2011-10-10,60
13225.0,2011-12-06,3
13226.0,2011-03-11,273
13227.0,2011-05-22,201
13228.0,2011-09-19,81
13229.0,2011-04-28,225
13230.0,2011-12-05,4
13232.0,2011-11-27,12
13233.0,2011-09-26,74
13235.0,2011-05-11,212
13236.0,2011-11-15,24
13238.0,2011-11-22,17
13239.0,2011-03-23,261
13240.0,2011-09-04,96
13242.0,2011-08-19,112
13243.0,2011-05-20,203
13244.0,2011-09-08,92
13245.0,2011-10-20,50
13246.0,2011-11-21,18
13247.0,2011-11-22,17
13248.0,2011-08-07,124
13249.0,2011-09-08,92
13253.0,2011-07-06,156
13255.0,2011-11-30,9
13258.0,2011-11-28,11
13259.0,2011-10-09,61
13260.0,2011-10-09,61
13261.0,2011-03-16,268
13262.0,2011-03-21,263
13263.0,2011-12-08,1
13265.0,2011-10-17,53
13266.0,2011-11-28,11
13267.0,2011-12-07,2
13268.0,2011-11-22,17
13269.0,2011-12-08,1
13270.0,2010-12-08,366
13271.0,2011-11-02,37
13272.0,2011-11-08,31
13273.0,2011-08-18,113
13276.0,2011-10-07,63
13277.0,2011-11-24,15
13278.0,2011-10-30,40
13279.0,2011-09-22,78
13280.0,2011-08-09,122
13282.0,2011-11-21,18
13283.0,2011-10-11,59
13284.0,2011-01-13,330
13285.0,2011-11-16,23
13291.0,2011-07-07,155
13292.0,2011-11-01,38
13294.0,2011-06-03,189
13295.0,2010-12-15,359
13296.0,2011-07-25,137
13297.0,2011-12-02,7
13298.0,2011-12-08,1
13299.0,2011-03-16,268
13300.0,2011-06-23,169
13301.0,2011-08-28,103
13302.0,2011-07-07,155
13304.0,2010-12-23,351
13305.0,2011-12-05,4
13307.0,2011-08-11,120
13308.0,2011-11-17,22
13309.0,2011-12-02,7
13310.0,2011-11-11,28
13311.0,2011-12-05,4
13313.0,2011-11-17,22
13314.0,2011-12-08,1
13316.0,2011-11-02,37
13317.0,2011-10-04,66
13318.0,2011-12-08,1
13319.0,2011-12-04,5
13320.0,2011-09-22,78
13321.0,2011-09-28,72
13322.0,2011-11-22,17
13323.0,2011-12-06,3
13324.0,2011-11-03,36
13325.0,2011-09-19,81
13327.0,2011-11-01,38
13328.0,2011-01-27,316
13329.0,2011-11-08,31
13330.0,2011-09-08,92
13332.0,2011-11-25,14
13334.0,2011-09-18,82
13336.0,2011-09-23,77
13338.0,2011-07-05,157
13339.0,2011-05-23,200
13340.0,2011-10-25,45
13341.0,2011-03-24,260
13343.0,2011-06-15,177
13344.0,2011-10-03,67
13345.0,2011-02-25,287
13347.0,2011-09-30,70
13348.0,2011-10-06,64
13349.0,2011-11-29,10
13350.0,2011-11-23,16
13351.0,2011-10-04,66
13352.0,2011-10-10,60
13354.0,2011-09-29,71
13355.0,2011-08-09,122
13356.0,2011-09-20,80
13357.0,2011-03-27,257
13358.0,2011-03-16,268
13359.0,2011-10-07,63
13362.0,2011-11-30,9
13363.0,2011-11-22,17
13364.0,2011-09-29,71
13365.0,2011-11-06,33
13366.0,2011-10-20,50
13368.0,2011-03-28,256
13369.0,2010-12-09,365
13370.0,2010-12-03,371
13372.0,2011-09-11,89
13373.0,2011-10-10,60
13375.0,2011-09-12,88
13376.0,2011-09-01,99
13379.0,2011-11-13,26
13381.0,2011-11-08,31
13382.0,2011-03-04,280
13384.0,2011-11-09,30
13385.0,2011-01-14,329
13388.0,2011-07-31,131
13389.0,2011-11-28,11
13390.0,2011-09-26,74
13391.0,2011-05-20,203
13394.0,2011-12-08,1
13395.0,2011-06-07,185
13396.0,2011-11-10,29
13397.0,2011-09-28,72
13398.0,2011-05-31,192
13402.0,2011-08-04,127
13403.0,2011-11-22,17
13404.0,2011-12-08,1
13405.0,2011-09-26,74
13408.0,2011-12-08,1
13410.0,2011-11-15,24
13411.0,2011-08-24,107
13414.0,2011-07-29,133
13416.0,2011-10-27,43
13417.0,2011-12-05,4
13418.0,2011-11-28,11
13419.0,2011-10-07,63
13420.0,2011-07-13,149
13421.0,2011-10-30,40
13422.0,2011-10-06,64
13425.0,2011-08-23,108
13426.0,2011-12-09,0
13427.0,2011-11-20,19
13428.0,2011-11-29,10
13429.0,2011-11-29,10
13430.0,2011-11-21,18
13431.0,2011-10-03,67
13434.0,2011-09-26,74
13435.0,2011-12-04,5
13436.0,2011-12-08,1
13437.0,2011-11-25,14
13439.0,2011-03-29,255
13441.0,2011-09-09,91
13447.0,2011-11-16,23
13448.0,2011-11-23,16
13449.0,2011-11-16,23
13450.0,2011-11-13,26
13451.0,2011-11-13,26
13452.0,2011-03-25,259
13453.0,2011-06-27,165
13455.0,2011-11-15,24
13456.0,2011-11-22,17
13458.0,2011-12-02,7
13460.0,2011-11-10,29
13461.0,2011-11-01,38
13462.0,2011-04-01,252
13464.0,2011-10-12,58
13466.0,2011-06-08,184
13467.0,2011-11-29,10
13468.0,2011-12-08,1
13470.0,2011-09-01,99
13471.0,2011-12-08,1
13473.0,2011-10-10,60
13474.0,2011-04-17,236
13475.0,2011-06-01,191
13476.0,2011-06-14,178
13477.0,2011-11-02,37
13479.0,2011-05-23,200
13481.0,2011-10-25,45
13482.0,2011-04-21,232
13483.0,2011-10-05,65
13484.0,2011-04-12,241
13485.0,2011-04-20,233
13486.0,2011-09-22,78
13487.0,2011-10-13,57
13488.0,2011-11-22,17
13489.0,2011-08-26,105
13491.0,2011-10-19,51
13492.0,2011-07-26,136
13493.0,2011-03-09,275
13494.0,2011-02-01,311
13495.0,2011-12-02,7
13496.0,2011-11-29,10
13497.0,2011-03-02,282
13499.0,2011-11-22,17
13500.0,2011-11-16,23
13501.0,2011-02-24,288
13502.0,2011-11-23,16
13503.0,2011-09-29,71
13504.0,2011-10-06,64
13505.0,2011-09-28,72
13506.0,2011-01-27,316
13507.0,2011-12-06,3
13508.0,2011-04-10,243
13509.0,2011-12-01,8
13510.0,2011-12-08,1
13512.0,2011-03-24,260
13513.0,2011-08-05,126
13514.0,2011-09-27,73
13515.0,2011-09-28,72
13516.0,2011-11-18,21
13517.0,2011-10-11,59
13518.0,2011-09-15,85
13519.0,2011-09-22,78
13520.0,2011-10-12,58
13521.0,2011-12-08,1
13522.0,2011-11-09,30
13523.0,2011-11-06,33
13524.0,2011-10-30,40
13525.0,2011-11-25,14
13527.0,2011-11-06,33
13529.0,2011-09-22,78
13531.0,2011-05-18,205
13532.0,2011-11-06,33
13533.0,2011-06-10,182
13534.0,2011-12-07,2
13536.0,2011-12-08,1
13538.0,2011-10-27,43
13539.0,2011-09-15,85
13544.0,2011-10-31,39
13546.0,2011-11-27,12
13548.0,2011-09-04,96
13549.0,2011-11-14,25
13551.0,2011-01-24,319
13552.0,2011-10-04,66
13555.0,2011-09-27,73
13557.0,2011-11-11,28
13558.0,2011-12-04,5
13560.0,2011-12-02,7
13561.0,2011-05-08,215
13562.0,2011-09-19,81
13563.0,2011-09-16,84
13564.0,2011-07-18,144
13565.0,2011-11-20,19
13566.0,2011-10-30,40
13568.0,2011-06-19,173
13569.0,2011-11-22,17
13570.0,2011-04-10,243
13571.0,2011-11-27,12
13572.0,2011-05-18,205
13573.0,2011-10-20,50
13575.0,2011-11-16,23
13576.0,2011-11-29,10
13577.0,2011-11-14,25
13579.0,2011-11-25,14
13581.0,2011-02-03,309
13583.0,2011-07-07,155
13584.0,2011-02-06,306
13587.0,2011-10-07,63
13588.0,2011-11-24,15
13589.0,2011-11-25,14
13590.0,2011-11-28,11
13591.0,2011-10-06,64
13592.0,2011-11-04,35
13593.0,2011-08-23,108
13594.0,2011-10-18,52
13596.0,2011-12-04,5
13598.0,2011-10-23,47
13599.0,2011-12-08,1
13600.0,2011-01-31,312
13601.0,2011-10-25,45
13602.0,2011-10-06,64
13603.0,2011-11-13,26
13606.0,2011-11-10,29
13607.0,2011-10-30,40
13610.0,2011-11-27,12
13611.0,2011-09-11,89
13614.0,2011-11-15,24
13615.0,2011-01-25,318
13617.0,2011-10-30,40
13618.0,2011-06-19,173
13621.0,2011-08-15,116
13623.0,2011-11-09,30
13626.0,2011-04-01,252
13627.0,2011-10-11,59
13629.0,2011-11-16,23
13630.0,2011-12-04,5
13631.0,2011-09-01,99
13632.0,2011-11-15,24
13634.0,2011-11-06,33
13635.0,2011-10-03,67
13636.0,2011-11-03,36
13637.0,2011-10-18,52
13638.0,2011-11-24,15
13639.0,2011-09-26,74
13642.0,2011-05-08,215
13643.0,2011-11-08,31
13644.0,2011-11-23,16
13645.0,2011-08-11,120
13647.0,2011-11-30,9
13649.0,2011-03-28,256
13650.0,2011-11-23,16
13651.0,2011-11-04,35
13652.0,2011-10-25,45
13654.0,2011-10-27,43
13655.0,2011-08-17,114
13656.0,2011-06-28,164
13657.0,2011-11-29,10
13658.0,2011-11-30,9
13659.0,2011-05-18,205
13662.0,2011-09-15,85
13663.0,2011-06-13,179
13666.0,2011-10-10,60
13667.0,2011-07-13,149
13668.0,2011-12-07,2
13669.0,2011-10-20,50
13670.0,2011-09-25,75
13672.0,2011-02-11,301
13673.0,2011-11-21,18
13675.0,2011-07-11,151
13678.0,2011-07-11,151
13680.0,2011-12-08,1
13681.0,2011-11-22,17
13682.0,2011-06-05,187
13684.0,2011-02-27,285
13685.0,2011-12-07,2
13686.0,2011-06-10,182
13689.0,2011-10-07,63
13690.0,2011-10-11,59
13692.0,2011-11-15,24
13694.0,2011-12-06,3
13695.0,2011-11-08,31
